external_source,external_id,brand_external_id,name,address,source_url,crawled_at
giftpop.vn,d518fba254cff97b7a6755dc4baac43754dc76a0b01b177fedf849975a2284eb,CHUKTEA,Chuk Tea & Coffee - 108 Vườn Lài,"108 Vườn Lài, P. Tân Thành, Quận Tân Phú, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2311060003?category_code=A101,2026-08-25T04:40:09.705Z
giftpop.vn,7cbfe1f2fa53e47c7703da150ed801a27e019fc053806991f708abd67ee499b1,NGUPHAN,Ngư Phàn - Royal City,"Lô B2-R6-27-28 tầng B2, TTTM Vincom Mega Mall Royal City, số 72A Đường Nguyễn Trãi, Phường Thanh Xuân, Hà Nội",https://www.giftpop.vn/category/view/MP2605070003?category_code=A102,2026-08-25T04:40:09.705Z
giftpop.vn,0052cc5d59645041366af0e5efaffab9a9cf6055eaa7fe7c0e4fb460c8779d26,TOUSLESJOURS,TOUS les JOURS - Hoàng Đạo Thúy,"24T1B toà 24T1 Khu đô thị Trung Hoà - Nhân Chính, Hoàng Đạo Thúy, P. Trung Hoà, Quận Cầu Giấy, Hà Nội",https://www.giftpop.vn/category/view/MP2502270003?category_code=A103,2026-08-25T04:40:09.705Z
giftpop.vn,bb7929356a7bd17b7f54859ede0bb3794f40cdc7c3e22fc2a9e0fa062982639f,DMARIS,DMaris - Phú Mỹ Hưng,"Tầng 3, Tòa nhà Lotte Mart, số 469 Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2606300002?category_code=A104,2026-08-25T04:40:09.705Z
giftpop.vn,b577f06f8c46151c17e062a01f02ba284df7b06fd1d17b3500545bbde6a76c94,LOTTERIA,Lotteria - Aeon Mall Celadon,"TTTM Mua Sắm Aeon - Tân Phú Celadon, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",https://www.giftpop.vn/category/view/1PEMP2425141401?category_code=A106,2026-08-25T04:40:09.705Z
giftpop.vn,81c3279ea9320d0a48df43d28b144d078db9b6bf57f47e8723f0107d7c6acfa7,PIZZA4PS,Pizza 4Ps - Giga Mall,"Lô L4- 03, L4-04, tầng 4, TTTM Gigamall, số 240-242 Kha Vạn Cân (Phạm Văn Đồng), Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2205300002?category_code=A107,2026-08-25T04:40:09.705Z
giftpop.vn,b2d9737f54389c72229125885f9142a400e12552c67a9cf574551b0203f7d603,MARCFASHION,Marc Fashion - Đà Nẵng,"66 Lê Duẩn, Quận Hải Châu, Đà Nẵng",https://www.giftpop.vn/category/view/MP2107290004?category_code=A108,2026-08-25T04:40:09.705Z
giftpop.vn,7c4e156730f287ba7ddb4ff2e43e48456e231878bc4635c8a298324eef887cf3,TIEMGOIA,Tiệm Gội Ả - Trần Hưng Đạo,"393/6 Trần Hưng Đạo, P. Cầu Kho, Quận 1, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2504290006?category_code=A110,2026-08-25T04:40:09.705Z
giftpop.vn,0047c6e34be3e099d81c2a7f5e4cfd2fe8b6ceab53dadbd4ab3db12b7b5f9405,PNJ,PNJ - Âu Cơ,"142 Âu Cơ, P. 9, Quận Tân Bình, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2104130006?category_code=A111,2026-08-25T04:40:09.705Z
giftpop.vn,0029b65d7851d0ea4e09ab0bf2dad41a46ee70dd743aba2931d16e5be1ca20e3,HPLUS,Y Tế H PLus - Lotte Mall,"Tầng 7 và tầng 8, Lotte Mall Hà Nội, 272 Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",https://www.giftpop.vn/category/view/MP2508150003?category_code=A112,2026-08-25T04:40:09.705Z
giftpop.vn,d71cf92105c3d45ef1449600f8aeaf9aa495d94eca1b5a4131106b86511ab7a8,SUOITIEN,Công Viên Văn Hóa Suối Tiên - Khu Du Lịch Văn Hóa Suối Tiên,"120 Xa Lộ Hà Nội, Phường Tân Phú, Thủ Đức, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2512230008?category_code=A116,2026-08-25T04:40:09.705Z
giftpop.vn,77d31cdd660596d80961664b5d9d2c77018d91d7ad7ace1426e49eadfbaa1180,LOTTEMART,LOTTE Mart - Phú Thọ,"Lầu 1-5 Tòa nhà EverRich, 968 đường 3 Tháng 2, Phường Phú Thọ, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2605150004?category_code=A117,2026-08-25T04:40:09.705Z
giftpop.vn,069edabd188211b4dde8489238d252795de4673cfc5fc9747ff0053ce3cb1135,LOTTYFRIENDS,LOTTY FRIENDS - Times City,"Tầng hầm B1 - TTTM Vincom Mega Times City, Số 458 Minh Khai, Quận Hai Bà Trưng, Hà Nội",https://www.giftpop.vn/category/view/MP2512020001?category_code=A118,2026-08-25T04:40:09.705Z
giftpop.vn,3b0b3b3605f825af9f51d9f41bcbd3bb73ec6074ce385eae6a81a1838dcba3c7,KMARKET,K-MARKET - Trung Hòa,"B29 Nguyễn Thị Định, P. Nhân Chính, Quận Thanh Xuân, Hà Nội",https://www.giftpop.vn/category/view/CB2012100002?category_code=A119,2026-08-25T04:40:09.705Z
giftpop.vn,b66471d989616cdc3b2ebd92d18ce702a9fb708263a538b024edb3b273e34bc6,GOLDENGATE,Ashima - Phan Đình Phùng,"Số 44 Phan Đình Phùng, P. Quán Thánh, Quận Ba Đình, Hà Nội",https://www.giftpop.vn/category/view/MP2303150002?category_code=A105,2026-08-25T04:40:09.705Z
giftpop.vn,9b824d4f8bca8e69531a90ece04a24e2aa1eb10b7e3eec417360a40b75a5fc91,BBWELLNESS,BB Wellness - Ninh Kiều,"Hotline 0909 747 575 - Số PG2.10, Vincom Xuân Khánh, 209 đường 30-4, P. Xuân Khánh, Cần Thơ",https://www.giftpop.vn/category/view/MP2307180007?category_code=A118,2026-08-25T04:40:09.705Z
giftpop.vn,fa0874e0fb7730153be93e49ff0922d44380d656bb521d912f06949b81b4f8ed,CHUKTEA,Chuk Tea & Coffee - 130 Phổ Quang,"130 Phổ Quang, phường 9, quận Phú Nhuận, Hồ Chí Minh",https://www.giftpop.vn/category/view/MP2311060003?category_code=A101,2026-08-25T04:40:09.705Z
